age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, Income-category
19, ?,61855, HS-grad,9, Never-married, ?, Other-relative, White, Female,0,0,30, United-States, <=50K
25, Private,165622, Masters,14, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States, <=50K
33, Private,355856, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
31, Private,329301, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,55, United-States, <=50K
42, ?,137390, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
56, State-gov,143931, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private,250647, Some-college,10, Never-married, Adm-clerical, Other-relative, White, Male,0,0,30, Nicaragua, <=50K
41, Private,41901, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,1408,40, United-States, <=50K
31, Self-emp-not-inc,340939, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private,106679, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,27828,0,50, United-States, >50K
31, Local-gov,58624, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private,203783, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,72, United-States, <=50K
19, ?,134974, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,20, United-States, <=50K
57, Self-emp-not-inc,222216, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,60, United-States, <=50K
31, Private,109055, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,3137,0,45, United-States, <=50K
43, Self-emp-not-inc,227298, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Local-gov,93211, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,22, United-States, >50K
23, Private,162228, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private,221850, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, >50K
50, Private,237735, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,37, Mexico, <=50K
33, Private,152933, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private,190015, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc,216824, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
35, Self-emp-not-inc,171968, HS-grad,9, Separated, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, <=50K
65, ?,36039, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
24, Private,216469, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1579,50, United-States, <=50K
24, Local-gov,461678, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
71, Private,137499, HS-grad,9, Widowed, Sales, Other-relative, White, Female,0,0,16, United-States, <=50K
43, State-gov,164790, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,50, United-States, >50K
23, Private,342769, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
51, Self-emp-not-inc,32372, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1672,70, United-States, <=50K
33, Private,159303, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private,128798, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private,154297, 10th,6, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Private,196805, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,65, United-States, <=50K
20, Private,270517, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, Mexico, <=50K
45, Private,168262, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, >50K
62, Private,29828, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
49, State-gov,185800, Masters,14, Divorced, Prof-specialty, Unmarried, Black, Female,7430,0,40, United-States, >50K
35, Private,77146, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
37, Private,166497, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,38, United-States, <=50K
46, Private,154405, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,45, United-States, <=50K
40, Private,166662, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
35, Private,101509, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private,180624, Assoc-acdm,12, Never-married, Prof-specialty, Other-relative, White, Female,0,0,30, United-States, <=50K
43, Private,136721, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private,45612, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,37, United-States, <=50K
64, ?,267198, Prof-school,15, Married-civ-spouse, ?, Husband, White, Male,0,0,16, United-States, <=50K
21, State-gov,56582, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,10, United-States, <=50K
50, Private,143953, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
45, Private,185385, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,47, United-States, >50K
36, State-gov,86805, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,7298,0,39, United-States, >50K
66, Private,244661, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
47, Private,162034, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
43, Private,282069, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male,0,0,42, United-States, <=50K
46, Private,120131, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, >50K
75, Private,311184, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
59, Private,231377, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,45, United-States, >50K
54, Federal-gov,230387, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
32, Private,155781, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
58, Private,94741, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,24, United-States, <=50K
46, Private,91262, Some-college,10, Married-spouse-abs, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
21, Private,119704, Some-college,10, Never-married, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
41, Private,428499, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1485,50, United-States, >50K
39, Private,30529, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
36, Private,150548, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
51, ?,69328, Assoc-voc,11, Married-civ-spouse, ?, Husband, White, Male,0,0,50, United-States, >50K
31, Private,59496, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
40, Self-emp-not-inc,204235, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
21, Private,766115, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, <=50K
52, Private,175714, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
27, Private,161087, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States, <=50K
33, Private,161745, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
68, Private,214521, Prof-school,15, Widowed, Prof-specialty, Unmarried, White, Female,0,0,16, United-States, <=50K
24, State-gov,289909, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,171114, Assoc-voc,11, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
20, ?,348148, 11th,7, Never-married, ?, Own-child, Black, Male,0,0,40, United-States, <=50K
42, Private,66118, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private,203924, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Self-emp-not-inc,77209, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, United-States, >50K
27, Private,177351, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, ?,315026, HS-grad,9, Divorced, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private,61778, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
64, Local-gov,199298, 5th-6th,3, Divorced, Other-service, Not-in-family, White, Female,0,0,45, ?, <=50K
53, Private,89400, Some-college,10, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private,456062, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2415,55, United-States, >50K
42, Private,222011, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,43, United-States, <=50K
49, State-gov,122177, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
36, Private,301614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private,237819, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private,178341, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,46, United-States, >50K
50, Private,204447, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, United-States, >50K
20, Private,194848, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,326232, Some-college,10, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
20, Private,211049, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, United-States, <=50K
66, ?,213149, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,1825,40, United-States, >50K
26, Private,34393, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private,478205, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private,129495, Some-college,10, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private,138332, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,6, United-States, <=50K
61, Private,477209, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
29, Private,46442, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,50, United-States, >50K
23, Private,107578, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,2174,0,40, United-States, <=50K
55, Private,227158, Bachelors,13, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private,99971, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
24, Local-gov,161092, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private,53513, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,45, United-States, <=50K
42, ?,167678, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,22, Ecuador, <=50K
48, Private,331482, Prof-school,15, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,40, United-States, >50K
28, Local-gov,86615, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,30, United-States, <=50K
44, Self-emp-not-inc,37618, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
33, ?,209432, HS-grad,9, Separated, ?, Unmarried, White, Female,0,0,20, United-States, <=50K
52, State-gov,216342, Bachelors,13, Widowed, Exec-managerial, Unmarried, White, Female,0,0,55, United-States, <=50K
17, Private,160758, 10th,6, Never-married, Sales, Other-relative, White, Male,0,0,30, United-States, <=50K
29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
39, Self-emp-inc,33975, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
49, Private,101320, Assoc-acdm,12, Married-civ-spouse, Sales, Wife, White, Female,0,1902,40, United-States, >50K
46, Private,83082, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,33, United-States, <=50K
30, Private,284395, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
46, State-gov,192779, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
43, Local-gov,269733, HS-grad,9, Separated, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Local-gov,242670, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private,305874, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
44, Private,106900, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States, <=50K
49, Private,186078, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
43, State-gov,165309, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov,59460, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
41, Private,175642, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
